milestone_id,project_id,milestone_name,sequence,planned_date,actual_date,status,delay_days,dependency_type
PRJ-SYN-000003-M-09,PRJ-SYN-000003,"Safety Audit, Statutory Inspection (CRS/DGCA/CEA)",9,2020-04-30,2021-01-11,COMPLETED,256,STATUTORY_INSPECTION
PRJ-SYN-000003-M-10,PRJ-SYN-000003,"Final Trial Runs, COD Commercial Operation & Handover",10,2020-06-01,2021-02-17,COMPLETED,261,COMMISSIONING
PRJ-SYN-000004-M-01,PRJ-SYN-000004,Feasibility Study & Detailed Project Report (DPR) Approval,1,2019-04-20,2019-05-07,COMPLETED,17,ADMINISTRATIVE
PRJ-SYN-000004-M-02,PRJ-SYN-000004,Statutory Environmental & Forest Clearance Stage-I,2,2019-11-19,2020-01-20,COMPLETED,62,STATUTORY
PRJ-SYN-000004-M-03,PRJ-SYN-000004,Land Acquisition 80% ROW Notification (Sec 3D/19),3,2020-06-19,2020-09-15,COMPLETED,88,LAND_ACQUISITION
PRJ-SYN-000004-M-04,PRJ-SYN-000004,"EPC Tendering, Technical Evaluation & Contract Award",4,2021-01-18,2021-05-19,COMPLETED,121,PROCUREMENT
PRJ-SYN-000004-M-05,PRJ-SYN-000004,"Contractor Mobilization, ROW Handover & Utility Relocation",5,2021-10-01,2022-02-21,COMPLETED,143,RIGHT_OF_WAY
PRJ-SYN-000004-M-06,PRJ-SYN-000004,"Major Substructure, Earthwork & Foundation Works (50%)",6,2022-08-17,2023-01-27,COMPLETED,163,CIVIL_WORKS
PRJ-SYN-000004-M-07,PRJ-SYN-000004,"Superstructure Erection, Track/Line Laying & Core Fabrication",7,2023-07-02,2023-12-29,COMPLETED,180,CIVIL_WORKS
PRJ-SYN-000004-M-08,PRJ-SYN-000004,"Equipment Installation, Signaling & Substation Integration",8,2024-01-31,2024-09-07,COMPLETED,220,SYSTEMS_EQUIPMENT
PRJ-SYN-000004-M-09,PRJ-SYN-000004,"Safety Audit, Statutory Inspection (CRS/DGCA/CEA)",9,2024-06-07,2025-02-14,COMPLETED,252,STATUTORY_INSPECTION
PRJ-SYN-000004-M-10,PRJ-SYN-000004,"Final Trial Runs, COD Commercial Operation & Handover",10,2024-09-01,2025-05-29,COMPLETED,270,COMMISSIONING
PRJ-SYN-000005-M-01,PRJ-SYN-000005,Feasibility Study & Detailed Project Report (DPR) Approval,1,2018-08-25,2018-09-21,COMPLETED,27,ADMINISTRATIVE
PRJ-SYN-000005-M-02,PRJ-SYN-000005,Statutory Environmental & Forest Clearance Stage-I,2,2019-02-23,2019-04-22,COMPLETED,58,STATUTORY
PRJ-SYN-000005-M-03,PRJ-SYN-000005,Land Acquisition 80% ROW Notification (Sec 3D/19),3,2019-08-25,2019-11-12,COMPLETED,79,LAND_ACQUISITION
PRJ-SYN-000005-M-04,PRJ-SYN-000005,"EPC Tendering, Technical Evaluation & Contract Award",4,2020-02-23,2020-05-29,COMPLETED,96,PROCUREMENT
PRJ-SYN-000005-M-05,PRJ-SYN-000005,"Contractor Mobilization, ROW Handover & Utility Relocation",5,2020-09-30,2021-01-25,COMPLETED,117,RIGHT_OF_WAY
PRJ-SYN-000005-M-06,PRJ-SYN-000005,"Major Substructure, Earthwork & Foundation Works (50%)",6,2021-06-30,2021-11-16,COMPLETED,139,CIVIL_WORKS
PRJ-SYN-000005-M-07,PRJ-SYN-000005,"Superstructure Erection, Track/Line Laying & Core Fabrication",7,2022-03-31,2022-08-31,COMPLETED,153,CIVIL_WORKS
PRJ-SYN-000005-M-08,PRJ-SYN-000005,"Equipment Installation, Signaling & Substation Integration",8,2022-09-30,2023-03-31,COMPLETED,182,SYSTEMS_EQUIPMENT
PRJ-SYN-000005-M-09,PRJ-SYN-000005,"Safety Audit, Statutory Inspection (CRS/DGCA/CEA)",9,2023-01-17,2023-08-01,COMPLETED,196,STATUTORY_INSPECTION
PRJ-SYN-000005-M-10,PRJ-SYN-000005,"Final Trial Runs, COD Commercial Operation & Handover",10,2023-04-01,2023-11-18,COMPLETED,231,COMMISSIONING
PRJ-SYN-000006-M-01,PRJ-SYN-000006,Feasibility Study & Detailed Project Report (DPR) Approval,1,2019-11-17,2019-11-26,COMPLETED,9,ADMINISTRATIVE
PRJ-SYN-000006-M-02,PRJ-SYN-000006,Statutory Environmental & Forest Clearance Stage-I,2,2020-02-23,2020-03-14,COMPLETED,20,STATUTORY
PRJ-SYN-000006-M-03,PRJ-SYN-000006,Land Acquisition 80% ROW Notification (Sec 3D/19),3,2020-05-30,2020-07-10,COMPLETED,41,LAND_ACQUISITION
PRJ-SYN-000006-M-04,PRJ-SYN-000006,"EPC Tendering, Technical Evaluation & Contract Award",4,2020-09-04,2020-10-04,COMPLETED,30,PROCUREMENT
PRJ-SYN-000006-M-05,PRJ-SYN-000006,"Contractor Mobilization, ROW Handover & Utility Relocation",5,2020-12-30,2021-02-23,COMPLETED,55,RIGHT_OF_WAY
PRJ-SYN-000006-M-06,PRJ-SYN-000006,"Major Substructure, Earthwork & Foundation Works (50%)",6,2021-05-25,2021-07-29,COMPLETED,65,CIVIL_WORKS
PRJ-SYN-000006-M-07,PRJ-SYN-000006,"Superstructure Erection, Track/Line Laying & Core Fabrication",7,2021-10-18,2021-12-17,COMPLETED,60,CIVIL_WORKS
PRJ-SYN-000006-M-08,PRJ-SYN-000006,"Equipment Installation, Signaling & Substation Integration",8,2022-01-23,2022-04-19,COMPLETED,86,SYSTEMS_EQUIPMENT
PRJ-SYN-000006-M-09,PRJ-SYN-000006,"Safety Audit, Statutory Inspection (CRS/DGCA/CEA)",9,2022-03-23,2022-06-29,COMPLETED,98,STATUTORY_INSPECTION
PRJ-SYN-000006-M-10,PRJ-SYN-000006,"Final Trial Runs, COD Commercial Operation & Handover",10,2022-05-01,2022-07-30,COMPLETED,90,COMMISSIONING
PRJ-SYN-000007-M-01,PRJ-SYN-000007,Feasibility Study & Detailed Project Report (DPR) Approval,1,2022-03-12,2022-04-15,COMPLETED,34,ADMINISTRATIVE
PRJ-SYN-000007-M-02,PRJ-SYN-000007,Statutory Environmental & Forest Clearance Stage-I,2,2022-06-08,2022-07-28,COMPLETED,50,STATUTORY
PRJ-SYN-000007-M-03,PRJ-SYN-000007,Land Acquisition 80% ROW Notification (Sec 3D/19),3,2022-09-04,2022-11-17,COMPLETED,74,LAND_ACQUISITION
PRJ-SYN-000007-M-04,PRJ-SYN-000007,"EPC Tendering, Technical Evaluation & Contract Award",4,2022-12-02,2023-03-23,COMPLETED,111,PROCUREMENT
PRJ-SYN-000007-M-05,PRJ-SYN-000007,"Contractor Mobilization, ROW Handover & Utility Relocation",5,2023-03-18,2023-08-01,COMPLETED,136,RIGHT_OF_WAY
PRJ-SYN-000007-M-06,PRJ-SYN-000007,"Major Substructure, Earthwork & Foundation Works (50%)",6,2023-07-28,2023-12-25,COMPLETED,150,CIVIL_WORKS
PRJ-SYN-000007-M-07,PRJ-SYN-000007,"Superstructure Erection, Track/Line Laying & Core Fabrication",7,2023-12-07,2024-06-02,COMPLETED,178,CIVIL_WORKS
PRJ-SYN-000007-M-08,PRJ-SYN-000007,"Equipment Installation, Signaling & Substation Integration",8,2024-03-04,2024-09-08,COMPLETED,188,SYSTEMS_EQUIPMENT
PRJ-SYN-000007-M-09,PRJ-SYN-000007,"Safety Audit, Statutory Inspection (CRS/DGCA/CEA)",9,2024-04-26,2024-11-28,COMPLETED,216,STATUTORY_INSPECTION
PRJ-SYN-000007-M-10,PRJ-SYN-000007,"Final Trial Runs, COD Commercial Operation & Handover",10,2024-06-01,2025-02-13,COMPLETED,257,COMMISSIONING
PRJ-SYN-000008-M-01,PRJ-SYN-000008,Feasibility Study & Detailed Project Report (DPR) Approval,1,2022-07-14,2022-08-08,COMPLETED,25,ADMINISTRATIVE
PRJ-SYN-000008-M-02,PRJ-SYN-000008,Statutory Environmental & Forest Clearance Stage-I,2,2023-02-02,2023-03-24,COMPLETED,50,STATUTORY
PRJ-SYN-000008-M-03,PRJ-SYN-000008,Land Acquisition 80% ROW Notification (Sec 3D/19),3,2023-08-25,2023-11-07,COMPLETED,74,LAND_ACQUISITION
PRJ-SYN-000008-M-04,PRJ-SYN-000008,"EPC Tendering, Technical Evaluation & Contract Award",4,2024-03-16,2024-07-07,COMPLETED,113,PROCUREMENT
PRJ-SYN-000008-M-05,PRJ-SYN-000008,"Contractor Mobilization, ROW Handover & Utility Relocation",5,2024-11-16,2025-03-31,COMPLETED,135,RIGHT_OF_WAY
PRJ-SYN-000008-M-06,PRJ-SYN-000008,"Major Substructure, Earthwork & Foundation Works (50%)",6,2025-09-17,2026-03-10,COMPLETED,174,CIVIL_WORKS
PRJ-SYN-000008-M-07,PRJ-SYN-000008,"Superstructure Erection, Track/Line Laying & Core Fabrication",7,2026-07-20,2027-02-06,COMPLETED,201,CIVIL_WORKS
PRJ-SYN-000008-M-08,PRJ-SYN-000008,"Equipment Installation, Signaling & Substation Integration",8,2027-02-09,,DELAYED,330,SYSTEMS_EQUIPMENT
PRJ-SYN-000008-M-09,PRJ-SYN-000008,"Safety Audit, Statutory Inspection (CRS/DGCA/CEA)",9,2027-06-11,,NOT_STARTED,0,STATUTORY_INSPECTION
PRJ-SYN-000008-M-10,PRJ-SYN-000008,"Final Trial Runs, COD Commercial Operation & Handover",10,2027-09-01,,NOT_STARTED,0,COMMISSIONING
PRJ-SYN-000009-M-01,PRJ-SYN-000009,Feasibility Study & Detailed Project Report (DPR) Approval,1,2023-03-15,2023-04-25,COMPLETED,41,ADMINISTRATIVE
PRJ-SYN-000009-M-02,PRJ-SYN-000009,Statutory Environmental & Forest Clearance Stage-I,2,2023-07-24,2023-10-25,COMPLETED,93,STATUTORY
PRJ-SYN-000009-M-03,PRJ-SYN-000009,Land Acquisition 80% ROW Notification (Sec 3D/19),3,2023-12-02,2024-04-19,COMPLETED,139,LAND_ACQUISITION
PRJ-SYN-000009-M-04,PRJ-SYN-000009,"EPC Tendering, Technical Evaluation & Contract Award",4,2024-04-11,2024-09-28,COMPLETED,170,PROCUREMENT
PRJ-SYN-000009-M-05,PRJ-SYN-000009,"Contractor Mobilization, ROW Handover & Utility Relocation",5,2024-09-15,2025-04-28,COMPLETED,225,RIGHT_OF_WAY
PRJ-SYN-000009-M-06,PRJ-SYN-000009,"Major Substructure, Earthwork & Foundation Works (50%)",6,2025-03-30,2025-12-14,COMPLETED,259,CIVIL_WORKS
PRJ-SYN-000009-M-07,PRJ-SYN-000009,"Superstructure Erection, Track/Line Laying & Core Fabrication",7,2025-10-12,,DELAYED,540,CIVIL_WORKS
PRJ-SYN-000009-M-08,PRJ-SYN-000009,"Equipment Installation, Signaling & Substation Integration",8,2026-02-20,,NOT_STARTED,0,SYSTEMS_EQUIPMENT
PRJ-SYN-000009-M-09,PRJ-SYN-000009,"Safety Audit, Statutory Inspection (CRS/DGCA/CEA)",9,2026-05-09,,NOT_STARTED,0,STATUTORY_INSPECTION
PRJ-SYN-000009-M-10,PRJ-SYN-000009,"Final Trial Runs, COD Commercial Operation & Handover",10,2026-07-01,,NOT_STARTED,0,COMMISSIONING
PRJ-SYN-000010-M-01,PRJ-SYN-000010,Feasibility Study & Detailed Project Report (DPR) Approval,1,2020-08-21,2020-11-11,COMPLETED,82,ADMINISTRATIVE
PRJ-SYN-000010-M-02,PRJ-SYN-000010,Statutory Environmental & Forest Clearance Stage-I,2,2021-03-25,2021-07-30,COMPLETED,127,STATUTORY
PRJ-SYN-000010-M-03,PRJ-SYN-000010,Land Acquisition 80% ROW Notification (Sec 3D/19),3,2021-10-27,2022-05-18,COMPLETED,203,LAND_ACQUISITION
PRJ-SYN-000010-M-04,PRJ-SYN-000010,"EPC Tendering, Technical Evaluation & Contract Award",4,2022-05-31,2023-03-06,COMPLETED,279,PROCUREMENT
PRJ-SYN-000010-M-05,PRJ-SYN-000010,"Contractor Mobilization, ROW Handover & Utility Relocation",5,2023-02-15,2024-01-28,COMPLETED,347,RIGHT_OF_WAY
PRJ-SYN-000010-M-06,PRJ-SYN-000010,"Major Substructure, Earthwork & Foundation Works (50%)",6,2024-01-05,2025-02-15,COMPLETED,407,CIVIL_WORKS
PRJ-SYN-000010-M-07,PRJ-SYN-000010,"Superstructure Erection, Track/Line Laying & Core Fabrication",7,2024-11-25,2026-03-21,COMPLETED,481,CIVIL_WORKS
PRJ-SYN-000010-M-08,PRJ-SYN-000010,"Equipment Installation, Signaling & Substation Integration",8,2025-06-29,,DELAYED,840,SYSTEMS_EQUIPMENT
PRJ-SYN-000010-M-09,PRJ-SYN-000010,"Safety Audit, Statutory Inspection (CRS/DGCA/CEA)",9,2025-11-06,,NOT_STARTED,0,STATUTORY_INSPECTION
PRJ-SYN-000010-M-10,PRJ-SYN-000010,"Final Trial Runs, COD Commercial Operation & Handover",10,2026-02-01,,NOT_STARTED,0,COMMISSIONING
PRJ-SYN-000011-M-01,PRJ-SYN-000011,Feasibility Study & Detailed Project Report (DPR) Approval,1,2024-03-04,2024-03-12,COMPLETED,8,ADMINISTRATIVE
PRJ-SYN-000011-M-02,PRJ-SYN-000011,Statutory Environmental & Forest Clearance Stage-I,2,2024-07-01,2024-07-30,COMPLETED,29,STATUTORY
PRJ-SYN-000011-M-03,PRJ-SYN-000011,Land Acquisition 80% ROW Notification (Sec 3D/19),3,2024-10-28,2024-12-16,COMPLETED,49,LAND_ACQUISITION
PRJ-SYN-000011-M-04,PRJ-SYN-000011,"EPC Tendering, Technical Evaluation & Contract Award",4,2025-02-23,2025-05-14,COMPLETED,80,PROCUREMENT
PRJ-SYN-000011-M-05,PRJ-SYN-000011,"Contractor Mobilization, ROW Handover & Utility Relocation",5,2025-07-16,2025-10-23,COMPLETED,99,RIGHT_OF_WAY
PRJ-SYN-000011-M-06,PRJ-SYN-000011,"Major Substructure, Earthwork & Foundation Works (50%)",6,2026-01-09,2026-04-18,COMPLETED,99,CIVIL_WORKS
PRJ-SYN-000011-M-07,PRJ-SYN-000011,"Superstructure Erection, Track/Line Laying & Core Fabrication",7,2026-07-06,,DELAYED,210,CIVIL_WORKS
PRJ-SYN-000011-M-08,PRJ-SYN-000011,"Equipment Installation, Signaling & Substation Integration",8,2026-11-02,,NOT_STARTED,0,SYSTEMS_EQUIPMENT
PRJ-SYN-000011-M-09,PRJ-SYN-000011,"Safety Audit, Statutory Inspection (CRS/DGCA/CEA)",9,2027-01-12,,NOT_STARTED,0,STATUTORY_INSPECTION
PRJ-SYN-000011-M-10,PRJ-SYN-000011,"Final Trial Runs, COD Commercial Operation & Handover",10,2027-03-01,,NOT_STARTED,0,COMMISSIONING
PRJ-SYN-000012-M-01,PRJ-SYN-000012,Feasibility Study & Detailed Project Report (DPR) Approval,1,2022-02-14,2022-03-11,COMPLETED,25,ADMINISTRATIVE
PRJ-SYN-000012-M-02,PRJ-SYN-000012,Statutory Environmental & Forest Clearance Stage-I,2,2022-08-03,2022-10-04,COMPLETED,62,STATUTORY
PRJ-SYN-000012-M-03,PRJ-SYN-000012,Land Acquisition 80% ROW Notification (Sec 3D/19),3,2023-01-21,2023-04-17,COMPLETED,86,LAND_ACQUISITION
PRJ-SYN-000012-M-04,PRJ-SYN-000012,"EPC Tendering, Technical Evaluation & Contract Award",4,2023-07-10,2023-10-21,COMPLETED,103,PROCUREMENT
PRJ-SYN-000012-M-05,PRJ-SYN-000012,"Contractor Mobilization, ROW Handover & Utility Relocation",5,2024-01-31,2024-06-07,COMPLETED,128,RIGHT_OF_WAY
PRJ-SYN-000012-M-06,PRJ-SYN-000012,"Major Substructure, Earthwork & Foundation Works (50%)",6,2024-10-12,2025-02-28,COMPLETED,139,CIVIL_WORKS
PRJ-SYN-000012-M-07,PRJ-SYN-000012,"Superstructure Erection, Track/Line Laying & Core Fabrication",7,2025-06-25,2025-12-25,COMPLETED,183,CIVIL_WORKS
PRJ-SYN-000012-M-08,PRJ-SYN-000012,"Equipment Installation, Signaling & Substation Integration",8,2025-12-12,2026-06-27,COMPLETED,197,SYSTEMS_EQUIPMENT
PRJ-SYN-000012-M-09,PRJ-SYN-000012,"Safety Audit, Statutory Inspection (CRS/DGCA/CEA)",9,2026-03-24,,DELAYED,300,STATUTORY_INSPECTION
PRJ-SYN-000012-M-10,PRJ-SYN-000012,"Final Trial Runs, COD Commercial Operation & Handover",10,2026-06-01,,NOT_STARTED,0,COMMISSIONING
PRJ-SYN-000013-M-01,PRJ-SYN-000013,Feasibility Study & Detailed Project Report (DPR) Approval,1,2022-04-15,2022-04-29,COMPLETED,14,ADMINISTRATIVE
PRJ-SYN-000013-M-02,PRJ-SYN-000013,Statutory Environmental & Forest Clearance Stage-I,2,2022-08-24,2022-09-30,COMPLETED,37,STATUTORY
PRJ-SYN-000013-M-03,PRJ-SYN-000013,Land Acquisition 80% ROW Notification (Sec 3D/19),3,2023-01-02,2023-02-17,COMPLETED,46,LAND_ACQUISITION
PRJ-SYN-000013-M-04,PRJ-SYN-000013,"EPC Tendering, Technical Evaluation & Contract Award",4,2023-05-13,2023-06-25,COMPLETED,43,PROCUREMENT
PRJ-SYN-000013-M-05,PRJ-SYN-000013,"Contractor Mobilization, ROW Handover & Utility Relocation",5,2023-10-17,2023-12-09,COMPLETED,53,RIGHT_OF_WAY
PRJ-SYN-000013-M-06,PRJ-SYN-000013,"Major Substructure, Earthwork & Foundation Works (50%)",6,2024-04-30,2024-07-15,COMPLETED,76,CIVIL_WORKS
PRJ-SYN-000013-M-07,PRJ-SYN-000013,"Superstructure Erection, Track/Line Laying & Core Fabrication",7,2024-11-12,2025-02-11,COMPLETED,91,CIVIL_WORKS
PRJ-SYN-000013-M-08,PRJ-SYN-000013,"Equipment Installation, Signaling & Substation Integration",8,2025-03-23,2025-06-27,COMPLETED,96,SYSTEMS_EQUIPMENT
PRJ-SYN-000013-M-09,PRJ-SYN-000013,"Safety Audit, Statutory Inspection (CRS/DGCA/CEA)",9,2025-06-09,2025-10-07,COMPLETED,120,STATUTORY_INSPECTION
PRJ-SYN-000013-M-10,PRJ-SYN-000013,"Final Trial Runs, COD Commercial Operation & Handover",10,2025-08-01,2025-12-09,COMPLETED,130,COMMISSIONING
PRJ-SYN-000014-M-01,PRJ-SYN-000014,Feasibility Study & Detailed Project Report (DPR) Approval,1,2021-10-04,2021-10-23,COMPLETED,19,ADMINISTRATIVE
PRJ-SYN-000014-M-02,PRJ-SYN-000014,Statutory Environmental & Forest Clearance Stage-I,2,2022-01-30,2022-03-09,COMPLETED,38,STATUTORY
PRJ-SYN-000014-M-03,PRJ-SYN-000014,Land Acquisition 80% ROW Notification (Sec 3D/19),3,2022-05-29,2022-08-01,COMPLETED,64,LAND_ACQUISITION
PRJ-SYN-000014-M-04,PRJ-SYN-000014,"EPC Tendering, Technical Evaluation & Contract Award",4,2022-09-25,2022-11-25,COMPLETED,61,PROCUREMENT
PRJ-SYN-000014-M-05,PRJ-SYN-000014,"Contractor Mobilization, ROW Handover & Utility Relocation",5,2023-02-15,2023-05-04,COMPLETED,78,RIGHT_OF_WAY
PRJ-SYN-000014-M-06,PRJ-SYN-000014,"Major Substructure, Earthwork & Foundation Works (50%)",6,2023-08-12,2023-11-24,COMPLETED,104,CIVIL_WORKS
PRJ-SYN-000014-M-07,PRJ-SYN-000014,"Superstructure Erection, Track/Line Laying & Core Fabrication",7,2024-02-06,2024-06-07,COMPLETED,122,CIVIL_WORKS
PRJ-SYN-000014-M-08,PRJ-SYN-000014,"Equipment Installation, Signaling & Substation Integration",8,2024-06-04,2024-10-22,COMPLETED,140,SYSTEMS_EQUIPMENT
PRJ-SYN-000014-M-09,PRJ-SYN-000014,"Safety Audit, Statutory Inspection (CRS/DGCA/CEA)",9,2024-08-14,2025-01-12,COMPLETED,151,STATUTORY_INSPECTION
PRJ-SYN-000014-M-10,PRJ-SYN-000014,"Final Trial Runs, COD Commercial Operation & Handover",10,2024-10-01,2025-03-29,COMPLETED,179,COMMISSIONING
PRJ-SYN-000015-M-01,PRJ-SYN-000015,Feasibility Study & Detailed Project Report (DPR) Approval,1,2023-01-03,2023-01-04,COMPLETED,1,ADMINISTRATIVE
PRJ-SYN-000015-M-02,PRJ-SYN-000015,Statutory Environmental & Forest Clearance Stage-I,2,2023-07-17,2023-07-27,COMPLETED,10,STATUTORY
PRJ-SYN-000015-M-03,PRJ-SYN-000015,Land Acquisition 80% ROW Notification (Sec 3D/19),3,2024-01-28,2024-02-19,COMPLETED,22,LAND_ACQUISITION
PRJ-SYN-000015-M-04,PRJ-SYN-000015,"EPC Tendering, Technical Evaluation & Contract Award",4,2024-08-10,2024-09-06,COMPLETED,27,PROCUREMENT
PRJ-SYN-000015-M-05,PRJ-SYN-000015,"Contractor Mobilization, ROW Handover & Utility Relocation",5,2025-04-01,2025-05-09,COMPLETED,38,RIGHT_OF_WAY
PRJ-SYN-000015-M-06,PRJ-SYN-000015,"Major Substructure, Earthwork & Foundation Works (50%)",6,2026-01-18,2026-02-22,COMPLETED,35,CIVIL_WORKS
PRJ-SYN-000015-M-07,PRJ-SYN-000015,"Superstructure Erection, Track/Line Laying & Core Fabrication",7,2026-11-06,2027-01-07,COMPLETED,62,CIVIL_WORKS
PRJ-SYN-000015-M-08,PRJ-SYN-000015,"Equipment Installation, Signaling & Substation Integration",8,2027-05-20,,AT_RISK,45,SYSTEMS_EQUIPMENT
PRJ-SYN-000015-M-09,PRJ-SYN-000015,"Safety Audit, Statutory Inspection (CRS/DGCA/CEA)",9,2027-09-14,,NOT_STARTED,0,STATUTORY_INSPECTION
PRJ-SYN-000015-M-10,PRJ-SYN-000015,"Final Trial Runs, COD Commercial Operation & Handover",10,2027-12-01,,NOT_STARTED,0,COMMISSIONING
PRJ-SYN-000016-M-01,PRJ-SYN-000016,Feasibility Study & Detailed Project Report (DPR) Approval,1,2024-04-20,2024-06-18,COMPLETED,59,ADMINISTRATIVE
PRJ-SYN-000016-M-02,PRJ-SYN-000016,Statutory Environmental & Forest Clearance Stage-I,2,2024-10-13,2025-01-28,COMPLETED,107,STATUTORY
PRJ-SYN-000016-M-03,PRJ-SYN-000016,Land Acquisition 80% ROW Notification (Sec 3D/19),3,2025-04-08,2025-08-28,COMPLETED,142,LAND_ACQUISITION
PRJ-SYN-000016-M-04,PRJ-SYN-000016,"EPC Tendering, Technical Evaluation & Contract Award",4,2025-10-02,,DELAYED,570,PROCUREMENT
PRJ-SYN-000016-M-05,PRJ-SYN-000016,"Contractor Mobilization, ROW Handover & Utility Relocation",5,2026-05-02,,NOT_STARTED,0,RIGHT_OF_WAY
PRJ-SYN-000016-M-06,PRJ-SYN-000016,"Major Substructure, Earthwork & Foundation Works (50%)",6,2027-01-21,,NOT_STARTED,0,CIVIL_WORKS
PRJ-SYN-000016-M-07,PRJ-SYN-000016,"Superstructure Erection, Track/Line Laying & Core Fabrication",7,2027-10-13,,NOT_STARTED,0,CIVIL_WORKS
